Proteins	Genes	Cerebellum	Frontal_Cortex	Heart	Kidney	Liver	Lung	Spleen	Amygdala	Entorhinal_Cortex	Gut	Olfactory_Bulb	Striatum	Thalamus	Substantia_Nigra
Q9JL35	Hmgn5	14.17049764	12.92164426	13.97186871	15.31943718	15.73883962	15.27071609	15.22354097	13.20945894	12.79690484	15.85254402	13.59181254	12.19902398	13.31286655	13.09021707
Q9JL56	Gde1	14.74973397	15.22057704	12.33489553	14.59209945	13.08992074	14.25846607	12.74815174	14.76677385	14.71505602	12.75211841	14.62868575	14.8319078	14.81331725	14.6867577
Q9JL60	Gmeb1	12.47595864	10.80828974	15.83524832	12.91307224	13.42074969	15.38190381	14.76320954	10.83391317	11.08772947	12.63992997	11.55843617	12.14623583	11.78853551	10.94530233
Q9JL61	Rfx5	9.241149834	NA	NA	7.772958332	8.609369346	9.083455223	12.11986457	9.244788207	NA	9.252833771	7.376829141	9.509509513	8.885872433	7.964014972
Q9JL62	Gltp	18.64307272	16.27439564	15.95888329	15.34700828	12.53695403	16.32746687	16.79880405	17.08857687	16.47576579	15.90915802	16.59678638	17.55359218	17.48096265	18.73755753
Q9JL78	Igkv4-91	NA	NA	10.56483567	9.272311676	9.34000353	10.18398481	9.516185333	NA	NA	NA	NA	NA	NA	NA
Q9JL80	NA	NA	NA	NA	NA	NA	10.74042548	11.95765126	NA	NA	13.87625909	NA	NA	NA	NA
Q9JL95	Prg3	NA	NA	NA	NA	NA	8.950848838	12.16763028	NA	NA	10.77140407	NA	NA	NA	NA
Q9JL99;Q9JL99-2	Clec1b	NA	NA	12.34273859	NA	9.721178069	12.86963023	13.20957258	NA	NA	NA	NA	NA	NA	NA
Q9JLB0	Mpp6	16.49720159	16.35678444	14.39755822	15.71621332	15.27635034	14.12389785	15.14912854	16.75172385	16.39017927	13.21280729	16.42317422	16.70664318	16.8984455	16.68104611
Q9JLB0-2	Mpp6	11.61253871	12.19498928	9.238635155	12.31627406	11.3736022	9.678241371	11.27761326	12.86648456	12.54750378	10.69496099	12.1923905	12.92172381	12.95914347	12.68913149
Q9JLB2	Mpp5	13.36290463	13.14804891	10.11558051	14.16761034	11.5656988	15.16192892	11.1828756	13.3707111	13.3298831	14.388536	12.90766526	13.28045326	13.53240895	13.4536884
Q9JLB4	Cubn	7.65319605	7.851975615	5.824985655	15.86832363	NA	NA	8.275574342	NA	6.541413423	10.27389944	NA	NA	6.368249102	NA
Q9JLB9	Nectin3	8.109184467	11.73148574	NA	12.85899559	11.71993986	12.20761955	9.126540079	11.86645882	12.06309951	12.01474351	11.0452936	10.97441609	11.81071619	11.47590816
Q9JLC3	Msrb1	12.51052099	11.38187564	13.61739078	14.76980334	15.80563648	13.00589854	13.21820424	11.63602272	11.33320736	14.52862896	11.48711871	11.96564575	11.88444408	12.31244052
Q9JLC8;Q9JLC8-3	Sacs	13.14353004	12.48759803	10.70723716	7.360594969	NA	NA	7.086485326	12.41372561	12.26354298	8.521728392	11.47656129	12.52579752	12.37122939	13.05285495
Q9JLF6	Tgm1	NA	NA	NA	15.54332969	15.01231974	11.16624887	15.17170498	NA	NA	8.754179177	NA	NA	NA	NA
